STATENAME,MONTHNAME,HOUR,LGT_CONDNAME,,FATALS
Alabama,February,22,Dark - Not Lighted,,2
Alabama,February,18,Dark - Not Lighted,,2
Alabama,February,0,Dark - Not Lighted,,1
Alabama,February,16,Daylight,,1
Alabama,January,22,Dark - Not Lighted,,1
Alabama,January,12,Daylight,,1
Alabama,January,22,Dark - Not Lighted,,1
Alabama,January,2,Dark - Lighted,,1
Alabama,January,0,Dark - Lighted,,1
Alabama,January,0,Dark - Not Lighted,,1
Alabama,January,13,Daylight,,1
Alabama,January,19,Dark - Not Lighted,,1
Alabama,January,5,Dawn,,1
Alabama,January,1,Dark - Lighted,,1
Alabama,January,2,Dark - Not Lighted,,1
Alabama,January,2,Dark - Not Lighted,,1
Alabama,January,1,Dark - Not Lighted,,1
Alabama,January,18,Dark - Not Lighted,,1
Alabama,January,19,Dark - Not Lighted,,1
Alabama,January,8,Daylight,,1
Alabama,January,13,Daylight,,1
Alabama,January,18,Dark - Not Lighted,,1
Alabama,January,22,Dark - Not Lighted,,2
Alabama,January,3,Dark - Not Lighted,,1
Alabama,January,7,Daylight,,1
Alabama,January,18,Dark - Not Lighted,,1
Alabama,January,18,Dark - Lighted,,1
Alabama,January,23,Dark - Lighted,,1
Alabama,January,23,Dark - Not Lighted,,1
Alabama,January,7,Daylight,,1
Alabama,January,16,Dusk,,1
Alabama,January,15,Daylight,,1
Alabama,January,10,Daylight,,1
Alabama,January,13,Daylight,,1
Alabama,January,10,Daylight,,1
Alabama,January,20,Dark - Not Lighted,,1
Alabama,January,23,Dark - Not Lighted,,2
Alabama,January,2,Dark - Not Lighted,,1
Alabama,January,13,Daylight,,1
Alabama,January,0,Dark - Not Lighted,,1
Alabama,January,19,Dark - Not Lighted,,1
Alabama,January,16,Dusk,,1
Alabama,January,19,Dark - Lighted,,1
Alabama,January,12,Daylight,,1
Alabama,January,11,Daylight,,1
Alabama,January,16,Daylight,,1
Alabama,January,2,Dark - Lighted,,1
Alabama,January,20,Dark - Not Lighted,,1
Alabama,January,18,Dark - Lighted,,1
Alabama,January,19,Dark - Not Lighted,,1
Alabama,January,18,Dark - Lighted,,1
Alabama,January,17,Dusk,,1
Alabama,January,11,Daylight,,1
Alabama,January,19,Dark - Not Lighted,,1
Alabama,January,18,Dark - Not Lighted,,1
Alabama,January,17,Dark - Lighted,,1
Alabama,January,18,Dark - Not Lighted,,1
Alabama,January,14,Daylight,,1
Alabama,January,19,Dark - Not Lighted,,1
Alabama,January,14,Daylight,,1
Alabama,January,15,Daylight,,1
Alabama,January,15,Daylight,,1
Alabama,January,13,Daylight,,1
Alabama,January,13,Daylight,,1
Alabama,January,21,Dark - Not Lighted,,1
Alabama,January,15,Daylight,,1
Alabama,January,0,Dark - Not Lighted,,1
Alabama,January,4,Dark - Not Lighted,,1
Alabama,January,19,Dark - Not Lighted,,1
Alabama,January,20,Dark - Not Lighted,,2
Alabama,February,18,Dark - Not Lighted,,2
Alabama,February,17,Dusk,,1
Alabama,February,18,Dark - Not Lighted,,1
Alabama,February,17,Dusk,,1
Alabama,February,20,Dark - Not Lighted,,1
Alabama,February,1,Dark - Not Lighted,,1
Alabama,February,21,Dark - Not Lighted,,1
